jband,k,e,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12
0,0.000,-45.365,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.927,0.072,0.000
0,0.009,-45.365,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.927,0.072,0.000
0,0.017,-45.365,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.927,0.072,0.000
0,0.026,-45.365,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.927,0.072,0.000
0,0.035,-45.365,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.927,0.071,0.000
0,0.043,-45.365,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.928,0.071,0.000
0,0.052,-45.365,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.928,0.071,0.000
0,0.061,-45.365,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.941,0.058,0.000
0,0.069,-45.365,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.959,0.040,0.000
0,0.078,-45.365,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.959,0.040,0.000
0,0.087,-45.365,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.957,0.042,0.000
0,0.095,-45.365,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.976,0.022,0.000
0,0.104,-45.365,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.969,0.029,0.000
0,0.113,-45.365,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.969,0.029,0.000
0,0.121,-45.365,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.974,0.024,0.000
0,0.130,-45.365,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.980,0.019,0.000
0,0.138,-45.365,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.981,0.017,0.000
0,0.147,-45.365,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.977,0.022,0.000
