jband,k,eGW,eKS
34,1.568,-3.052,-3.545
34,1.594,-2.788,-3.282
34,1.621,-2.522,-3.035
34,1.647,-2.288,-2.855
34,1.673,-2.117,-2.753
34,1.699,-2.022,-2.702
35,0.000,-1.491,-2.148
35,0.027,-1.491,-2.150
35,0.054,-1.494,-2.157
35,0.080,-1.506,-2.165
35,0.107,-1.543,-2.192
35,0.134,-1.601,-2.260
35,0.161,-1.669,-2.341
35,0.188,-1.746,-2.429
35,0.214,-1.824,-2.516
35,0.241,-1.899,-2.594
35,0.268,-1.961,-2.648
35,0.295,-1.992,-2.627
35,0.322,-1.965,-2.607
35,0.348,-1.899,-2.297
35,0.375,-1.752,-2.107
35,0.402,-1.622,-1.968
35,0.429,-1.536,-1.881
35,0.456,-1.506,-1.852
35,0.482,-1.530,-1.875
35,0.509,-1.623,-1.967
35,0.535,-1.794,-2.147
35,0.562,-2.004,-2.384
35,0.588,-2.100,-2.877
35,0.615,-2.076,-2.859
35,0.642,-2.042,-2.821
35,0.668,-1.999,-2.770
35,0.695,-1.945,-2.707
35,0.721,-1.883,-2.634
35,0.748,-1.818,-2.557
35,0.774,-1.754,-2.480
35,0.801,-1.708,-2.413
35,0.828,-1.710,-2.403
35,0.854,-1.722,-2.423
35,0.880,-1.760,-2.471
35,0.907,-1.803,-2.510
35,0.933,-1.837,-2.539
35,0.959,-1.865,-2.563
35,0.985,-1.886,-2.582
35,1.012,-1.901,-2.596
35,1.038,-1.882,-2.519
35,1.064,-1.788,-2.454
35,1.091,-1.753,-2.447
35,1.117,-1.778,-2.449
35,1.144,-1.827,-2.471
35,1.170,-1.852,-2.499
35,1.197,-1.861,-2.501
35,1.224,-1.860,-2.506
35,1.250,-1.833,-2.504
35,1.277,-1.777,-2.464
35,1.303,-1.703,-2.394
35,1.330,-1.626,-2.314
35,1.356,-1.559,-2.240
35,1.383,-1.514,-2.190
35,1.410,-1.495,-2.163
35,1.436,-1.491,-2.151
35,1.463,-1.491,-2.148
35,1.489,-1.491,-2.148
35,1.515,-1.494,-2.153
35,1.542,-1.512,-2.166
35,1.568,-1.544,-2.200
35,1.594,-1.583,-2.245
35,1.621,-1.622,-2.292
35,1.647,-1.658,-2.336
35,1.673,-1.686,-2.371
35,1.699,-1.704,-2.395
36,0.000,-1.452,-2.087
36,0.027,-1.455,-2.091
36,0.054,-1.468,-2.108
36,0.080,-1.492,-2.150
36,0.107,-1.521,-2.207
36,0.134,-1.560,-2.257
36,0.161,-1.612,-2.317
36,0.188,-1.673,-2.387
36,0.214,-1.739,-2.462
36,0.241,-1.807,-2.536
36,0.268,-1.873,-2.604
36,0.295,-1.930,-2.652
36,0.322,-1.948,-2.401
36,0.348,-1.812,-2.186
36,0.375,-1.656,-2.006
36,0.402,-1.523,-1.864
36,0.429,-1.434,-1.775
36,0.456,-1.403,-1.744
36,0.482,-1.437,-1.778
36,0.509,-1.510,-1.853
36,0.535,-1.594,-1.941
36,0.562,-1.692,-2.061
36,0.588,-1.764,-2.226
36,0.615,-1.757,-2.362
36,0.642,-1.697,-2.346
36,0.668,-1.617,-2.273
36,0.695,-1.531,-2.180
36,0.721,-1.489,-2.133
36,0.748,-1.564,-2.224
36,0.774,-1.630,-2.306
36,0.801,-1.673,-2.367
36,0.828,-1.666,-2.371
36,0.854,-1.675,-2.375
36,0.880,-1.674,-2.366
36,0.907,-1.663,-2.351
36,0.933,-1.648,-2.334
36,0.959,-1.631,-2.314
36,0.985,-1.613,-2.294
36,1.012,-1.598,-2.277
36,1.038,-1.586,-2.265
36,1.064,-1.578,-2.257
36,1.091,-1.574,-2.254
36,1.117,-1.573,-2.250
36,1.144,-1.567,-2.239
36,1.170,-1.558,-2.224
36,1.197,-1.547,-2.208
36,1.224,-1.534,-2.191
36,1.250,-1.520,-2.174
36,1.277,-1.506,-2.157
36,1.303,-1.492,-2.139
36,1.330,-1.478,-2.123
36,1.356,-1.465,-2.108
36,1.383,-1.455,-2.095
36,1.410,-1.452,-2.084
36,1.436,-1.452,-2.084
36,1.463,-1.452,-2.087
36,1.489,-1.457,-2.090
36,1.515,-1.468,-2.101
36,1.542,-1.480,-2.131
36,1.568,-1.505,-2.171
36,1.594,-1.540,-2.214
36,1.621,-1.579,-2.260
36,1.647,-1.615,-2.303
36,1.673,-1.642,-2.338
36,1.699,-1.660,-2.362
37,0.000,-1.425,-2.084
37,0.027,-1.421,-2.078
37,0.054,-1.411,-2.060
37,0.080,-1.397,-2.024
37,0.107,-1.414,-1.995
37,0.134,-1.452,-2.025
37,0.161,-1.488,-2.047
37,0.188,-1.515,-2.043
37,0.214,-1.514,-1.984
37,0.241,-1.466,-1.843
37,0.268,-1.351,-1.622
37,0.295,-1.173,-1.360
37,0.322,-1.090,-1.663
37,0.348,-1.066,-1.638
37,0.375,-1.044,-1.617
37,0.402,-1.023,-1.598
37,0.429,-1.007,-1.581
37,0.456,-1.000,-1.574
37,0.482,-1.006,-1.579
37,0.509,-1.022,-1.598
37,0.535,-1.049,-1.627
37,0.562,-1.086,-1.669
37,0.588,-1.134,-1.722
37,0.615,-1.191,-1.786
37,0.642,-1.256,-1.862
37,0.668,-1.330,-1.948
37,0.695,-1.407,-2.039
37,0.721,-1.444,-2.085
37,0.748,-1.371,-1.997
37,0.774,-1.349,-2.029
37,0.801,-1.405,-2.098
37,0.828,-1.430,-2.129
37,0.854,-1.396,-2.086
37,0.880,-1.319,-1.992
37,0.907,-1.316,-1.913
37,0.933,-1.340,-1.928
37,0.959,-1.366,-1.942
37,0.985,-1.391,-1.946
37,1.012,-1.413,-1.936
37,1.038,-1.431,-1.920
37,1.064,-1.441,-1.944
37,1.091,-1.445,-1.978
37,1.117,-1.445,-1.909
37,1.144,-1.447,-1.895
37,1.170,-1.449,-1.959
37,1.197,-1.449,-2.004
37,1.224,-1.445,-2.030
37,1.250,-1.438,-2.042
37,1.277,-1.429,-2.047
37,1.303,-1.420,-2.049
37,1.330,-1.414,-2.050
37,1.356,-1.413,-2.048
37,1.383,-1.419,-2.054
37,1.410,-1.424,-2.073
37,1.436,-1.425,-2.082
37,1.463,-1.425,-2.084
37,1.489,-1.428,-2.087
37,1.515,-1.439,-2.094
37,1.542,-1.452,-2.094
37,1.568,-1.456,-2.086
37,1.594,-1.451,-2.082
37,1.621,-1.443,-2.083
37,1.647,-1.435,-2.096
37,1.673,-1.430,-2.115
37,1.699,-1.429,-2.126
38,0.000,-1.329,-1.915
38,0.027,-1.335,-1.920
38,0.054,-1.350,-1.937
38,0.080,-1.373,-1.971
38,0.107,-1.365,-1.998
38,0.134,-1.334,-1.960
38,0.161,-1.299,-1.916
38,0.188,-1.260,-1.869
38,0.214,-1.221,-1.821
38,0.241,-1.183,-1.774
38,0.268,-1.148,-1.731
38,0.295,-1.116,-1.693
38,0.322,-0.957,-1.133
38,0.348,-0.878,-1.447
38,0.375,-0.846,-1.417
38,0.402,-0.816,-1.387
38,0.429,-0.792,-1.361
38,0.456,-0.782,-1.351
38,0.482,-0.792,-1.363
38,0.509,-0.822,-1.396
38,0.535,-0.861,-1.438
38,0.562,-0.904,-1.483
38,0.588,-0.949,-1.532
38,0.615,-0.995,-1.581
38,0.642,-1.040,-1.630
38,0.668,-1.086,-1.690
38,0.695,-1.146,-1.779
38,0.721,-1.214,-1.863
38,0.748,-1.282,-1.947
38,0.774,-1.315,-1.929
38,0.801,-1.286,-1.892
38,0.828,-1.279,-1.882
38,0.854,-1.283,-1.886
38,0.880,-1.295,-1.898
38,0.907,-1.232,-1.881
38,0.933,-1.268,-1.929
38,0.959,-1.308,-1.981
38,0.985,-1.348,-2.029
38,1.012,-1.383,-2.064
38,1.038,-1.411,-2.071
38,1.064,-1.428,-2.025
38,1.091,-1.433,-1.980
38,1.117,-1.432,-2.060
38,1.144,-1.424,-2.118
38,1.170,-1.408,-2.110
38,1.197,-1.385,-2.083
38,1.224,-1.357,-2.047
38,1.250,-1.327,-2.005
38,1.277,-1.302,-1.892
38,1.303,-1.330,-1.865
38,1.330,-1.353,-1.909
38,1.356,-1.365,-1.938
38,1.383,-1.360,-1.946
38,1.410,-1.345,-1.933
38,1.436,-1.333,-1.919
38,1.463,-1.329,-1.915
38,1.489,-1.332,-1.920
38,1.515,-1.338,-1.932
38,1.542,-1.343,-1.946
38,1.568,-1.341,-1.953
38,1.594,-1.334,-1.949
38,1.621,-1.321,-1.933
38,1.647,-1.306,-1.911
38,1.673,-1.291,-1.894
38,1.699,-1.282,-1.885
39,0.000,-1.156,-1.770
39,0.027,-1.160,-1.774
39,0.054,-1.168,-1.782
39,0.080,-1.173,-1.785
39,0.107,-1.171,-1.786
39,0.134,-1.159,-1.774
39,0.161,-1.137,-1.750
39,0.188,-1.105,-1.717
39,0.214,-1.068,-1.677
39,0.241,-1.026,-1.633
39,0.268,-0.983,-1.585
39,0.295,-0.942,-1.516
39,0.322,-0.903,-1.429
39,0.348,-0.859,-1.444
39,0.375,-0.826,-1.405
39,0.402,-0.799,-1.374
39,0.429,-0.782,-1.353
39,0.456,-0.776,-1.345
39,0.482,-0.784,-1.354
39,0.509,-0.802,-1.375
39,0.535,-0.830,-1.407
39,0.562,-0.867,-1.450
39,0.588,-0.911,-1.502
39,0.615,-0.962,-1.562
39,0.642,-1.017,-1.629
39,0.668,-1.074,-1.690
39,0.695,-1.116,-1.722
39,0.721,-1.148,-1.757
39,0.748,-1.171,-1.786
39,0.774,-1.182,-1.807
39,0.801,-1.182,-1.814
39,0.828,-1.179,-1.814
39,0.854,-1.185,-1.821
39,0.880,-1.203,-1.844
39,0.907,-1.227,-1.880
39,0.933,-1.131,-1.765
39,0.959,-1.038,-1.652
39,0.985,-0.953,-1.551
39,1.012,-0.880,-1.466
39,1.038,-0.824,-1.400
39,1.064,-0.789,-1.358
39,1.091,-0.776,-1.344
39,1.117,-0.788,-1.358
39,1.144,-0.819,-1.393
39,1.170,-0.863,-1.435
39,1.197,-0.982,-1.241
39,1.224,-1.133,-1.471
39,1.250,-1.233,-1.666
39,1.277,-1.285,-1.864
39,1.303,-1.261,-1.915
39,1.330,-1.232,-1.874
39,1.356,-1.206,-1.838
39,1.383,-1.184,-1.808
39,1.410,-1.169,-1.782
39,1.436,-1.161,-1.774
39,1.463,-1.156,-1.770
39,1.489,-1.160,-1.773
39,1.515,-1.170,-1.783
39,1.542,-1.186,-1.792
39,1.568,-1.201,-1.796
39,1.594,-1.210,-1.780
39,1.621,-1.205,-1.724
39,1.647,-1.175,-1.779
39,1.673,-1.177,-1.811
39,1.699,-1.178,-1.813
40,0.000,-1.154,-1.769
40,0.027,-1.157,-1.772
40,0.054,-1.164,-1.780
40,0.080,-1.171,-1.786
40,0.107,-1.168,-1.776
40,0.134,-1.150,-1.753
40,0.161,-1.122,-1.720
40,0.188,-1.089,-1.681
40,0.214,-1.052,-1.638
40,0.241,-1.015,-1.596
40,0.268,-0.977,-1.554
40,0.295,-0.939,-1.534
40,0.322,-0.897,-1.487
40,0.348,-0.708,-0.789
40,0.375,-0.465,-0.508
40,0.402,-0.241,-0.255
40,0.429,-0.068,-0.064
40,0.456,0.000,0.010
40,0.482,-0.068,-0.063
40,0.509,-0.228,-0.242
40,0.535,-0.410,-0.454
40,0.562,-0.572,-0.654
40,0.588,-0.697,-0.820
40,0.615,-0.785,-0.945
40,0.642,-0.846,-1.035
40,0.668,-0.888,-1.097
40,0.695,-0.919,-1.141
40,0.721,-0.942,-1.172
40,0.748,-0.961,-1.194
40,0.774,-0.975,-1.210
40,0.801,-0.986,-1.218
40,0.828,-0.990,-1.220
40,0.854,-0.986,-1.216
40,0.880,-0.976,-1.206
40,0.907,-0.957,-1.187
40,0.933,-0.928,-1.155
40,0.959,-0.883,-1.100
40,0.985,-0.816,-1.011
40,1.012,-0.717,-0.880
40,1.038,-0.589,-0.718
40,1.064,-0.463,-0.570
40,1.091,-0.408,-0.508
40,1.117,-0.462,-0.569
40,1.144,-0.605,-0.733
40,1.170,-0.790,-0.968
40,1.197,-0.906,-1.473
40,1.224,-0.959,-1.544
40,1.250,-1.010,-1.603
40,1.277,-1.059,-1.657
40,1.303,-1.102,-1.705
40,1.330,-1.138,-1.743
40,1.356,-1.162,-1.768
40,1.383,-1.172,-1.781
40,1.410,-1.168,-1.785
40,1.436,-1.157,-1.773
40,1.463,-1.154,-1.769
40,1.489,-1.155,-1.771
40,1.515,-1.157,-1.775
40,1.542,-1.161,-1.782
40,1.568,-1.164,-1.789
40,1.594,-1.168,-1.795
40,1.621,-1.171,-1.802
40,1.647,-1.172,-1.633
40,1.673,-1.104,-1.420
40,1.699,-1.026,-1.274
41,0.000,2.915,3.538
41,0.027,2.938,3.564
41,0.054,2.991,3.634
41,0.080,3.076,3.745
41,0.107,3.179,3.886
41,0.134,3.295,4.044
41,0.161,3.408,4.203
41,0.188,3.497,4.333
41,0.214,3.529,4.367
41,0.241,3.320,4.124
41,0.268,2.982,3.771
41,0.295,2.652,3.424
41,0.322,2.336,3.092
41,0.348,2.044,2.785
41,0.375,1.787,2.513
41,0.402,1.579,2.293
41,0.429,1.440,2.144
41,0.456,1.387,2.089
41,0.482,1.407,2.110
41,0.509,1.444,2.150
41,0.535,1.501,2.213
41,0.562,1.572,2.294
41,0.588,1.655,2.390
41,0.615,1.743,2.493
41,0.642,1.832,2.597
41,0.668,1.917,2.694
41,0.695,1.994,2.781
41,0.721,2.060,2.855
41,0.748,2.113,2.915
41,0.774,2.151,2.960
41,0.801,2.174,2.987
41,0.828,2.182,2.997
41,0.854,2.174,2.988
41,0.880,2.152,2.962
41,0.907,2.115,2.922
41,0.933,2.067,2.868
41,0.959,2.011,2.805
41,0.985,1.952,2.737
41,1.012,1.897,2.672
41,1.038,1.851,2.620
41,1.064,1.821,2.585
41,1.091,1.810,2.572
41,1.117,1.869,2.634
41,1.144,2.032,2.804
41,1.170,2.276,3.055
41,1.197,2.578,3.366
41,1.224,2.920,3.721
41,1.250,3.286,4.102
41,1.277,3.471,4.331
41,1.303,3.380,4.193
41,1.330,3.271,4.030
41,1.356,3.161,3.873
41,1.383,3.064,3.737
41,1.410,2.986,3.630
41,1.436,2.938,3.563
41,1.463,2.915,3.538
41,1.489,2.934,3.561
41,1.515,2.995,3.632
41,1.542,3.081,3.741
41,1.568,3.198,3.888
41,1.594,3.338,4.066
41,1.621,3.348,4.179
41,1.647,2.906,3.726
41,1.673,2.532,3.349
41,1.699,2.275,3.090
42,0.000,4.533,5.100
42,0.027,4.551,5.117
42,0.054,4.585,5.169
42,0.080,4.630,5.239
42,0.107,4.627,5.291
42,0.134,4.499,5.242
42,0.161,4.271,5.064
42,0.188,3.984,4.795
42,0.214,3.659,4.475
42,0.241,3.325,4.121
42,0.268,2.994,3.776
42,0.295,2.665,3.432
42,0.322,2.349,3.102
42,0.348,2.055,2.796
42,0.375,1.795,2.522
42,0.402,1.585,2.299
42,0.429,1.447,2.152
42,0.456,1.399,2.101
42,0.482,1.464,2.170
42,0.509,1.647,2.364
42,0.535,1.914,2.646
42,0.562,2.238,2.983
42,0.588,2.595,3.356
42,0.615,2.970,3.747
42,0.642,3.348,4.144
42,0.668,3.687,4.558
42,0.695,3.819,4.828
42,0.721,3.877,4.908
42,0.748,3.918,4.956
42,0.774,3.945,4.987
42,0.801,3.960,5.004
42,0.828,3.965,5.009
42,0.854,3.963,5.007
42,0.880,3.953,4.999
42,0.907,3.939,4.987
42,0.933,3.910,4.936
42,0.959,3.597,4.409
42,0.985,3.127,3.916
42,1.012,2.672,3.448
42,1.038,2.272,3.044
42,1.064,1.982,2.750
42,1.091,1.873,2.638
42,1.117,1.938,2.706
42,1.144,2.119,2.894
42,1.170,2.383,3.162
42,1.197,2.696,3.479
42,1.224,3.034,3.825
42,1.250,3.367,4.175
42,1.277,3.668,4.498
42,1.303,4.044,4.885
42,1.330,4.393,5.230
42,1.356,4.655,5.419
42,1.383,4.640,5.236
42,1.410,4.584,5.161
42,1.436,4.550,5.114
42,1.463,4.533,5.100
42,1.489,4.550,5.121
42,1.515,4.593,5.185
42,1.542,4.651,5.289
42,1.568,4.318,5.177
42,1.594,3.835,4.680
42,1.621,3.501,4.279
42,1.647,3.656,4.494
42,1.673,3.806,4.720
42,1.699,3.920,4.919
43,0.000,4.631,5.043
43,0.027,4.651,5.062
43,0.054,4.696,5.123
43,0.080,4.771,5.224
43,0.107,4.807,5.533
43,0.134,4.615,5.454
43,0.161,4.315,5.150
43,0.188,3.994,4.820
43,0.214,3.670,4.478
43,0.241,3.410,4.182
43,0.268,3.132,3.891
43,0.295,2.829,3.582
43,0.322,2.523,3.270
43,0.348,2.223,2.965
43,0.375,1.940,2.674
43,0.402,1.689,2.410
43,0.429,1.504,2.208
43,0.456,1.435,2.131
43,0.482,1.516,2.221
43,0.509,1.739,2.461
43,0.535,2.038,2.770
43,0.562,2.373,3.112
43,0.588,2.725,3.472
43,0.615,3.081,3.839
43,0.642,3.434,4.204
43,0.668,3.771,4.581
43,0.695,4.086,4.885
43,0.721,4.376,5.142
43,0.748,4.609,5.320
43,0.774,4.679,5.248
43,0.801,4.631,5.179
43,0.828,4.608,5.154
43,0.854,4.627,5.180
43,0.880,4.650,5.265
43,0.907,4.483,5.291
43,0.933,4.096,4.949
43,0.959,3.930,4.991
43,0.985,3.909,4.985
43,1.012,3.896,4.981
43,1.038,3.882,4.978
43,1.064,3.874,4.975
43,1.091,3.875,4.973
43,1.117,3.865,4.962
43,1.144,3.850,4.930
43,1.170,3.811,4.873
43,1.197,3.760,4.793
43,1.224,3.700,4.689
43,1.250,3.641,4.575
43,1.277,3.794,4.628
43,1.303,4.129,4.955
43,1.330,4.470,5.307
43,1.356,4.739,5.405
43,1.383,4.767,5.273
43,1.410,4.697,5.133
43,1.436,4.653,5.063
43,1.463,4.631,5.043
43,1.489,4.645,5.059
43,1.515,4.671,5.113
43,1.542,4.696,5.264
43,1.568,4.730,5.390
43,1.594,4.772,5.431
43,1.621,4.783,5.465
43,1.647,4.754,5.441
43,1.673,4.708,5.349
43,1.699,4.639,5.223
44,0.000,5.138,5.523
44,0.027,5.128,5.556
44,0.054,5.066,5.639
44,0.080,4.964,5.656
44,0.107,4.865,5.597
44,0.134,4.628,5.415
44,0.161,4.372,5.166
44,0.188,4.099,4.908
44,0.214,3.842,4.702
44,0.241,3.708,4.656
44,0.268,3.676,4.634
44,0.295,3.644,4.585
44,0.322,3.596,4.513
44,0.348,3.540,4.432
44,0.375,3.487,4.356
44,0.402,3.442,4.295
44,0.429,3.422,4.259
44,0.456,3.416,4.247
44,0.482,3.417,4.255
44,0.509,3.435,4.286
44,0.535,3.476,4.340
44,0.562,3.526,4.412
44,0.588,3.586,4.499
44,0.615,3.653,4.596
44,0.642,3.729,4.695
44,0.668,3.834,4.740
44,0.695,4.129,4.932
44,0.721,4.454,5.272
44,0.748,4.730,5.550
44,0.774,4.893,5.685
44,0.801,5.031,5.816
44,0.828,5.095,5.892
44,0.854,5.047,5.812
44,0.880,4.939,5.749
44,0.907,4.824,5.508
44,0.933,4.825,5.597
44,0.959,4.794,5.589
44,0.985,4.765,5.570
44,1.012,4.742,5.556
44,1.038,4.726,5.547
44,1.064,4.718,5.543
44,1.091,4.716,5.542
44,1.117,4.719,5.544
44,1.144,4.734,5.550
44,1.170,4.754,5.560
44,1.197,4.780,5.572
44,1.224,4.808,5.583
44,1.250,4.826,5.587
44,1.277,4.810,5.584
44,1.303,4.789,5.554
44,1.330,4.780,5.454
44,1.356,4.806,5.644
44,1.383,4.904,5.545
44,1.410,5.023,5.599
44,1.436,5.114,5.558
44,1.463,5.138,5.523
44,1.489,5.153,5.543
44,1.515,5.157,5.869
44,1.542,4.813,5.599
44,1.568,4.774,5.328
44,1.594,4.850,5.519
44,1.621,4.933,5.667
44,1.647,5.001,5.775
44,1.673,5.054,5.845
44,1.699,5.085,5.881
45,0.000,5.288,5.760
45,0.027,5.257,5.794
45,0.054,5.185,5.769
45,0.080,5.109,5.799
45,0.107,4.916,5.509
45,0.134,4.976,5.724
45,0.161,4.941,5.770
45,0.188,4.928,5.764
45,0.214,4.944,5.790
45,0.241,4.979,5.862
45,0.268,5.027,5.973
45,0.295,5.088,6.113
45,0.322,5.162,6.277
45,0.348,5.244,6.445
45,0.375,5.322,6.566
45,0.402,5.383,6.481
45,0.429,5.419,6.288
45,0.456,5.431,6.231
45,0.482,5.422,6.278
45,0.509,5.403,6.415
45,0.535,5.367,6.506
45,0.562,5.300,6.447
45,0.588,5.232,6.322
45,0.615,5.178,6.195
45,0.642,5.146,6.083
45,0.668,5.114,5.966
45,0.695,5.057,5.800
45,0.721,4.964,5.640
45,0.748,4.889,5.583
45,0.774,5.001,5.810
45,0.801,5.146,5.951
45,0.828,5.226,5.971
45,0.854,5.152,5.999
45,0.880,4.981,5.721
45,0.907,4.928,5.638
45,0.933,4.962,5.602
45,0.959,5.069,5.769
45,0.985,5.172,6.018
45,1.012,5.219,6.239
45,1.038,5.214,6.305
45,1.064,5.204,6.311
45,1.091,5.207,6.304
45,1.117,5.197,6.300
45,1.144,5.195,6.269
45,1.170,5.161,6.185
45,1.197,5.092,6.021
45,1.224,5.000,5.838
45,1.250,4.912,5.703
45,1.277,4.875,5.609
45,1.303,4.861,5.556
45,1.330,4.848,5.581
45,1.356,4.886,5.360
45,1.383,5.042,5.762
45,1.410,5.182,5.803
45,1.436,5.263,5.793
45,1.463,5.288,5.760
45,1.489,5.268,5.793
45,1.515,5.200,5.741
45,1.542,5.180,5.784
45,1.568,5.165,5.812
45,1.594,5.173,5.839
45,1.621,5.198,5.893
45,1.647,5.217,5.962
45,1.673,5.224,6.003
45,1.699,5.226,6.002
46,0.000,5.290,5.772
46,0.027,5.288,5.793
46,0.054,5.249,5.879
46,0.080,5.116,5.841
46,0.107,5.038,5.801
46,0.134,5.004,5.563
46,0.161,5.117,5.741
46,0.188,5.215,5.992
46,0.214,5.286,6.092
46,0.241,5.341,6.131
46,0.268,5.404,6.167
46,0.295,5.473,6.218
46,0.322,5.515,6.281
46,0.348,5.528,6.345
46,0.375,5.524,6.454
46,0.402,5.527,6.770
46,0.429,5.573,7.140
46,0.456,5.603,7.271
46,0.482,5.575,7.180
46,0.509,5.551,6.918
46,0.535,5.562,6.645
46,0.562,5.575,6.508
46,0.588,5.569,6.403
46,0.615,5.520,6.277
46,0.642,5.444,6.147
46,0.668,5.361,6.073
46,0.695,5.328,6.109
46,0.721,5.362,6.202
46,0.748,5.409,6.276
46,0.774,5.373,6.150
46,0.801,5.301,6.043
46,0.828,5.236,6.004
46,0.854,5.288,6.011
46,0.880,5.373,6.198
46,0.907,5.396,6.298
46,0.933,5.385,6.287
46,0.959,5.379,6.288
46,0.985,5.396,6.268
46,1.012,5.436,6.310
46,1.038,5.430,6.402
46,1.064,5.420,6.401
46,1.091,5.419,6.398
46,1.117,5.412,6.395
46,1.144,5.421,6.391
46,1.170,5.417,6.369
46,1.197,5.400,6.333
46,1.224,5.377,6.299
46,1.250,5.329,6.201
46,1.277,5.238,5.996
46,1.303,5.121,5.745
46,1.330,5.000,5.525
46,1.356,4.919,5.670
46,1.383,5.127,5.997
46,1.410,5.250,5.835
46,1.436,5.280,5.798
46,1.463,5.290,5.772
46,1.489,5.291,5.773
46,1.515,5.279,5.888
46,1.542,5.279,5.771
46,1.568,5.280,5.788
46,1.594,5.277,5.805
46,1.621,5.272,5.829
46,1.647,5.264,5.870
46,1.673,5.252,5.914
46,1.699,5.241,5.958
47,0.000,5.580,6.500
47,0.027,5.551,6.458
47,0.054,5.448,6.351
47,0.080,5.288,6.172
47,0.107,5.130,5.968
47,0.134,5.087,5.882
47,0.161,5.171,5.886
47,0.188,5.300,5.925
47,0.214,5.445,6.108
47,0.241,5.583,6.379
47,0.268,5.704,6.679
47,0.295,5.803,6.915
47,0.322,5.872,7.060
47,0.348,5.921,7.142
47,0.375,5.966,7.193
47,0.402,6.003,7.230
47,0.429,6.050,7.251
47,0.456,6.066,7.255
47,0.482,6.044,7.247
47,0.509,6.004,7.224
47,0.535,5.969,7.183
47,0.562,5.909,7.122
47,0.588,5.874,7.082
47,0.615,5.848,7.049
47,0.642,5.827,6.971
47,0.668,5.763,6.829
47,0.695,5.678,6.638
47,0.721,5.587,6.430
47,0.748,5.511,6.278
47,0.774,5.511,6.335
47,0.801,5.518,6.369
47,0.828,5.517,6.373
47,0.854,5.508,6.348
47,0.880,5.501,6.275
47,0.907,5.543,6.327
47,0.933,5.583,6.490
47,0.959,5.568,6.547
47,0.985,5.533,6.516
47,1.012,5.514,6.431
47,1.038,5.567,6.403
47,1.064,5.633,6.481
47,1.091,5.662,6.515
47,1.117,5.643,6.488
47,1.144,5.606,6.423
47,1.170,5.541,6.382
47,1.197,5.487,6.392
47,1.224,5.450,6.344
47,1.250,5.382,6.197
47,1.277,5.299,6.043
47,1.303,5.224,5.959
47,1.330,5.190,5.914
47,1.356,5.194,5.884
47,1.383,5.219,5.863
47,1.410,5.374,6.271
47,1.436,5.533,6.442
47,1.463,5.580,6.500
47,1.489,5.483,6.389
47,1.515,5.296,5.815
47,1.542,5.326,5.783
47,1.568,5.429,5.882
47,1.594,5.549,6.237
47,1.621,5.526,6.503
47,1.647,5.501,6.418
47,1.673,5.507,6.369
47,1.699,5.514,6.368
48,0.000,5.582,6.501
48,0.027,5.557,6.448
48,0.054,5.510,6.269
48,0.080,5.519,6.159
48,0.107,5.578,6.206
48,0.134,5.652,6.317
48,0.161,5.727,6.414
48,0.188,5.793,6.511
48,0.214,5.863,6.637
48,0.241,5.940,6.725
48,0.268,6.037,6.802
48,0.295,6.143,7.072
48,0.322,6.211,7.253
48,0.348,6.281,7.314
48,0.375,6.343,7.340
48,0.402,6.359,7.271
48,0.429,6.369,7.170
48,0.456,6.374,7.118
48,0.482,6.360,7.140
48,0.509,6.336,7.190
48,0.535,6.302,7.225
48,0.562,6.230,7.184
48,0.588,6.147,7.103
48,0.615,6.075,7.031
48,0.642,6.037,6.992
48,0.668,6.022,6.954
48,0.695,6.002,6.793
48,0.721,5.949,6.653
48,0.748,5.912,6.619
48,0.774,5.929,6.680
48,0.801,5.994,6.817
48,0.828,6.039,6.905
48,0.854,6.025,6.886
48,0.880,5.985,6.831
48,0.907,5.949,6.753
48,0.933,5.950,6.701
48,0.959,5.966,6.762
48,0.985,5.979,6.732
48,1.012,6.032,6.734
48,1.038,6.137,6.822
48,1.064,6.273,6.979
48,1.091,6.366,7.105
48,1.117,6.305,7.061
48,1.144,6.205,6.935
48,1.170,6.095,6.751
48,1.197,5.975,6.541
48,1.224,5.857,6.372
48,1.250,5.763,6.319
48,1.277,5.712,6.356
48,1.303,5.686,6.378
48,1.330,5.663,6.360
48,1.356,5.631,6.322
48,1.383,5.605,6.317
48,1.410,5.601,6.384
48,1.436,5.602,6.483
48,1.463,5.582,6.501
48,1.489,5.583,6.496
48,1.515,5.586,6.486
48,1.542,5.593,6.474
48,1.568,5.603,6.487
48,1.594,5.606,6.413
48,1.621,5.730,6.369
48,1.647,5.830,6.583
48,1.673,5.933,6.720
48,1.699,6.011,6.849
49,0.000,5.645,6.584
49,0.027,5.646,6.529
49,0.054,5.654,6.461
49,0.080,5.666,6.407
49,0.107,5.693,6.355
49,0.134,5.748,6.345
49,0.161,5.828,6.433
49,0.188,5.918,6.604
49,0.214,6.004,6.805
49,0.241,6.080,6.997
49,0.268,6.148,7.087
49,0.295,6.239,6.929
49,0.322,6.387,6.910
49,0.348,6.558,7.080
49,0.375,6.714,7.287
49,0.402,6.814,7.441
49,0.429,6.849,7.493
49,0.456,6.854,7.499
49,0.482,6.852,7.503
49,0.509,6.834,7.495
49,0.535,6.773,7.446
49,0.562,6.669,7.379
49,0.588,6.559,7.350
49,0.615,6.450,7.309
49,0.642,6.347,7.247
49,0.668,6.249,7.186
