k,e
0.00000,8.23355
0.22781,8.61574
0.45562,9.42784
0.64162,8.90386
0.82763,8.80167
0.95915,8.95655
1.09068,8.73150
1.27668,8.52603
1.46269,8.23355
1.59422,8.55415
1.72574,8.80167
0.00000,8.23355
0.22781,8.64074
0.45562,9.42784
0.64162,8.93814
0.82763,8.80167
0.95915,8.99948
1.09068,8.73150
1.27668,8.55219
1.46269,8.23355
1.59422,8.56294
1.72574,8.80167
0.00000,9.08034
0.22781,8.96576
0.45562,9.45386
0.64162,8.99757
0.82763,8.98133
0.95915,9.15985
1.09068,9.30295
1.27668,9.02631
1.46269,9.08034
1.59422,8.98737
1.72574,8.98133
0.00000,9.08034
0.22781,9.02220
0.45562,9.45386
0.64162,9.02188
0.82763,8.98133
0.95915,9.19375
1.09068,9.30295
1.27668,9.05448
1.46269,9.08034
1.59422,9.01259
1.72574,8.98133
0.00000,9.45644
0.22781,9.26602
0.45562,9.59166
0.64162,9.29149
0.82763,9.07050
0.95915,9.41234
1.09068,9.36598
1.27668,9.35522
1.46269,9.45644
1.59422,9.17969
1.72574,9.07050
0.00000,9.45644
0.22781,9.29360
0.45562,9.59166
0.64162,9.30770
0.82763,9.07050
0.95915,9.44977
1.09068,9.36598
1.27668,9.38158
1.46269,9.45644
1.59422,9.19963
1.72574,9.07050
0.00000,9.96275
0.22781,9.55055
0.45562,9.67530
0.64162,9.62326
0.82763,9.13034
0.95915,9.52320
1.09068,9.50395
1.27668,9.58416
1.46269,9.96275
1.59422,9.78221
1.72574,9.13034
0.00000,9.96275
0.22781,9.56654
0.45562,9.67530
0.64162,9.66477
0.82763,9.13034
0.95915,9.54149
1.09068,9.50395
1.27668,9.60913
1.46269,9.96275
1.59422,9.81229
1.72574,9.13034
0.00000,10.00204
0.22781,10.05646
0.45562,9.71806
0.64162,9.89294
0.82763,9.54477
0.95915,9.70569
1.09068,9.81983
1.27668,9.75806
1.46269,10.00204
1.59422,10.15166
1.72574,9.54477
0.00000,10.00204
0.22781,10.06185
0.45562,9.71806
0.64162,9.91084
0.82763,9.54477
0.95915,9.73281
1.09068,9.81983
1.27668,9.77919
1.46269,10.00204
1.59422,10.16748
1.72574,9.54477
0.00000,10.60690
0.22781,10.27404
0.45562,9.79870
0.64162,10.22796
0.82763,10.31327
0.95915,9.92339
1.09068,10.57403
1.27668,10.35061
1.46269,10.60690
1.59422,10.22750
1.72574,10.31327
0.00000,10.60690
0.22781,10.29595
0.45562,9.79870
0.64162,10.24466
0.82763,10.31327
0.95915,9.93194
1.09068,10.57403
1.27668,10.35291
1.46269,10.60690
1.59422,10.24334
1.72574,10.31327
0.00000,10.95556
0.22781,10.43513
0.45562,10.19526
0.64162,10.48223
0.82763,10.47108
0.95915,10.53492
1.09068,10.62780
1.27668,11.06931
1.46269,10.95556
1.59422,10.26249
1.72574,10.47108
0.00000,10.95556
0.22781,10.44323
0.45562,10.19526
0.64162,10.50537
0.82763,10.47108
0.95915,10.54754
1.09068,10.62780
1.27668,11.07804
1.46269,10.95556
1.59422,10.28451
1.72574,10.47108
0.00000,11.20999
0.22781,10.93241
0.45562,10.61960
0.64162,10.64796
0.82763,10.68462
0.95915,10.80547
1.09068,10.81557
1.27668,11.12606
1.46269,11.20999
1.59422,11.01965
1.72574,10.68462
0.00000,11.20999
0.22781,10.93626
0.45562,10.61960
0.64162,10.66058
0.82763,10.68462
0.95915,10.81880
1.09068,10.81557
1.27668,11.14535
1.46269,11.20999
1.59422,11.03857
1.72574,10.68462
0.00000,11.33689
0.22781,11.22137
0.45562,11.00939
0.64162,10.99384
0.82763,10.77541
0.95915,11.12621
1.09068,10.98271
1.27668,11.35805
1.46269,11.33689
1.59422,11.39754
1.72574,10.77541
0.00000,11.33689
0.22781,11.22748
0.45562,11.00939
0.64162,11.00680
0.82763,10.77541
0.95915,11.13255
1.09068,10.98271
1.27668,11.38450
1.46269,11.33689
1.59422,11.41345
1.72574,10.77541
0.00000,11.69034
0.22781,11.28646
0.45562,11.86208
0.64162,11.41400
0.82763,11.11907
0.95915,11.40407
1.09068,11.04257
1.27668,11.61666
1.46269,11.69034
1.59422,11.57253
1.72574,11.11907
0.00000,11.69034
0.22781,11.29575
0.45562,11.86208
0.64162,11.42361
0.82763,11.11907
0.95915,11.41912
1.09068,11.04257
1.27668,11.65633
1.46269,11.69034
1.59422,11.60676
1.72574,11.11907
0.00000,12.05361
0.22781,12.08454
0.45562,12.25965
0.64162,11.98367
0.82763,11.69734
0.95915,11.69101
1.09068,11.30194
1.27668,11.84979
1.46269,12.05361
1.59422,12.04559
1.72574,11.69734
0.00000,12.05361
0.22781,12.10097
0.45562,12.25965
0.64162,11.99187
0.82763,11.69734
0.95915,11.70863
1.09068,11.30194
1.27668,11.89700
1.46269,12.05361
1.59422,12.04752
1.72574,11.69734
0.00000,12.56234
0.22781,12.57759
0.45562,12.66189
0.64162,12.21890
0.82763,12.04112
0.95915,12.01150
1.09068,12.06372
1.27668,12.46262
1.46269,12.56234
1.59422,12.41928
1.72574,12.04112
0.00000,12.56234
0.22781,12.58744
0.45562,12.66189
0.64162,12.23015
0.82763,12.04112
0.95915,12.02789
1.09068,12.06372
1.27668,12.47070
1.46269,12.56234
1.59422,12.43378
1.72574,12.04112
0.00000,12.60915
0.22781,12.63358
0.45562,12.80183
0.64162,12.58397
0.82763,12.23619
0.95915,12.15301
1.09068,12.50793
1.27668,12.65104
1.46269,12.60915
1.59422,12.50335
1.72574,12.23619
0.00000,12.60915
0.22781,12.64063
0.45562,12.80183
0.64162,12.60469
0.82763,12.23619
0.95915,12.16110
1.09068,12.50793
1.27668,12.65354
1.46269,12.60915
1.59422,12.52748
1.72574,12.23619
0.00000,13.17538
0.22781,13.09632
0.45562,12.84837
0.64162,12.90102
0.82763,12.83876
0.95915,12.65244
1.09068,12.71585
1.27668,12.87314
1.46269,13.17538
1.59422,12.87537
1.72574,12.83876
0.00000,13.17538
0.22781,13.12319
0.45562,12.84837
0.64162,12.90727
0.82763,12.83876
0.95915,12.65913
1.09068,12.71585
1.27668,12.88745
1.46269,13.17538
1.59422,12.89000
1.72574,12.83876
0.00000,13.51598
0.22781,13.69460
0.45562,13.30587
0.64162,12.98344
0.82763,13.19441
0.95915,12.80079
1.09068,13.15626
1.27668,13.18601
1.46269,13.51598
1.59422,13.02325
1.72574,13.19441
0.00000,13.51598
0.22781,13.70650
0.45562,13.30587
0.64162,13.00171
0.82763,13.19441
0.95915,12.80821
1.09068,13.15626
1.27668,13.20839
1.46269,13.51598
1.59422,13.04319
1.72574,13.19441
0.00000,13.57920
0.22781,13.89885
0.45562,13.52517
0.64162,13.31572
0.82763,13.32259
0.95915,13.15876
1.09068,13.52952
1.27668,13.39940
1.46269,13.57920
1.59422,13.35505
1.72574,13.32259
0.00000,13.57920
0.22781,13.90863
0.45562,13.52517
0.64162,13.32090
0.82763,13.32259
0.95915,13.16354
1.09068,13.52952
1.27668,13.44396
1.46269,13.57920
1.59422,13.37485
1.72574,13.32259
