k,e
1.72574,9.42402
0.00000,10.18865
0.22781,9.50454
0.45562,10.11785
0.64162,9.71614
0.82763,9.99678
0.95915,9.98873
1.09068,9.56286
1.27668,9.44992
1.46269,10.18865
1.59422,9.97622
1.72574,9.99678
0.00000,10.18865
0.22781,9.52900
0.45562,10.11785
0.64162,9.75783
0.82763,9.99678
0.95915,10.04677
1.09068,9.56286
1.27668,9.47682
1.46269,10.18865
1.59422,9.98364
1.72574,9.99678
0.00000,10.46879
0.22781,9.92580
0.45562,10.13501
0.64162,9.80856
0.82763,10.08627
0.95915,10.11416
1.09068,10.02776
1.27668,10.32794
1.46269,10.46879
1.59422,10.26182
1.72574,10.08627
0.00000,10.46879
0.22781,9.97665
0.45562,10.13501
0.64162,9.85907
0.82763,10.08627
0.95915,10.13555
1.09068,10.02776
1.27668,10.33901
1.46269,10.46879
1.59422,10.27165
1.72574,10.08627
0.00000,10.94675
0.22781,10.25335
0.45562,10.38904
0.64162,10.01737
0.82763,10.16495
0.95915,10.22006
1.09068,10.06010
1.27668,10.39937
1.46269,10.94675
1.59422,10.55824
1.72574,10.16495
0.00000,10.94675
0.22781,10.26561
0.45562,10.38904
0.64162,10.03278
0.82763,10.16495
0.95915,10.22240
1.09068,10.06010
1.27668,10.41648
1.46269,10.94675
1.59422,10.57422
1.72574,10.16495
0.00000,11.04986
0.22781,10.84278
0.45562,10.73413
0.64162,10.76139
0.82763,10.25220
0.95915,10.35236
1.09068,10.29676
1.27668,10.74490
1.46269,11.04986
1.59422,11.09062
1.72574,10.25220
0.00000,11.04986
0.22781,10.84787
0.45562,10.73413
0.64162,10.84786
0.82763,10.25220
0.95915,10.35751
1.09068,10.29676
1.27668,10.77482
1.46269,11.04986
1.59422,11.09363
1.72574,10.25220
0.00000,11.44719
0.22781,11.16468
0.45562,10.80664
0.64162,10.89533
0.82763,10.47242
0.95915,10.61650
1.09068,10.74798
1.27668,11.35241
1.46269,11.44719
1.59422,11.14935
1.72574,10.47242
0.00000,11.44719
0.22781,11.17157
0.45562,10.80664
0.64162,10.90019
0.82763,10.47242
0.95915,10.65222
1.09068,10.74798
1.27668,11.36623
1.46269,11.44719
1.59422,11.20861
1.72574,10.47242
0.00000,11.61337
0.22781,11.35136
0.45562,10.84821
0.64162,11.19382
0.82763,11.02106
0.95915,11.41626
1.09068,11.39219
1.27668,11.37388
1.46269,11.61337
1.59422,11.22795
1.72574,11.02106
0.00000,11.61337
0.22781,11.35269
0.45562,10.84821
0.64162,11.22638
0.82763,11.02106
0.95915,11.43112
1.09068,11.39219
1.27668,11.37849
1.46269,11.61337
1.59422,11.24370
1.72574,11.02106
0.00000,12.01866
0.22781,11.35618
0.45562,10.96046
0.64162,11.54175
0.82763,11.18416
0.95915,11.82419
1.09068,11.90802
1.27668,11.97733
1.46269,12.01866
1.59422,11.26368
1.72574,11.18416
0.00000,12.01866
0.22781,11.35654
0.45562,10.96046
0.64162,11.56710
0.82763,11.18416
0.95915,11.84553
1.09068,11.90802
1.27668,12.04024
1.46269,12.01866
1.59422,11.27343
1.72574,11.18416
0.00000,12.20937
0.22781,11.73567
0.45562,11.75925
0.64162,11.57523
0.82763,11.77885
0.95915,11.87908
1.09068,11.93812
1.27668,12.04588
1.46269,12.20937
1.59422,12.19583
1.72574,11.77885
0.00000,12.20937
0.22781,11.73992
0.45562,11.75925
0.64162,11.61223
0.82763,11.77885
0.95915,11.90774
1.09068,11.93812
1.27668,12.05046
1.46269,12.20937
1.59422,12.22301
1.72574,11.77885
0.00000,12.41287
0.22781,12.43566
0.45562,11.83410
0.64162,12.28317
0.82763,11.79456
0.95915,12.14492
1.09068,12.09276
1.27668,12.39557
1.46269,12.41287
1.59422,12.39584
1.72574,11.79456
0.00000,12.41287
0.22781,12.46293
0.45562,11.83410
0.64162,12.29125
0.82763,11.79456
0.95915,12.15518
1.09068,12.09276
1.27668,12.42251
1.46269,12.41287
1.59422,12.41094
1.72574,11.79456
0.00000,12.56570
0.22781,12.64736
0.45562,12.41160
0.64162,12.57926
0.82763,12.59876
0.95915,12.27150
1.09068,12.24132
1.27668,12.77140
1.46269,12.56570
1.59422,12.67293
1.72574,12.59876
0.00000,12.56570
0.22781,12.65460
0.45562,12.41160
0.64162,12.59114
0.82763,12.59876
0.95915,12.28395
1.09068,12.24132
1.27668,12.85739
1.46269,12.56570
1.59422,12.70190
1.72574,12.59876
0.00000,13.18603
0.22781,13.07404
0.45562,13.03254
0.64162,13.02953
0.82763,13.06281
0.95915,12.84119
1.09068,12.77587
1.27668,12.86525
1.46269,13.18603
1.59422,13.16803
1.72574,13.06281
0.00000,13.18603
0.22781,13.09258
0.45562,13.03254
0.64162,13.03141
0.82763,13.06281
0.95915,12.84831
1.09068,12.77587
1.27668,12.93296
1.46269,13.18603
1.59422,13.17338
1.72574,13.06281
0.00000,13.41354
0.22781,13.55795
0.45562,13.68768
0.64162,13.16256
0.82763,13.11668
0.95915,13.04582
1.09068,13.11657
1.27668,13.52989
1.46269,13.41354
1.59422,13.31991
1.72574,13.11668
0.00000,13.41354
0.22781,13.57690
0.45562,13.68768
0.64162,13.17822
0.82763,13.11668
0.95915,13.05178
1.09068,13.11657
1.27668,13.53818
1.46269,13.41354
1.59422,13.32568
1.72574,13.11668
0.00000,13.89329
0.22781,13.81458
0.45562,14.34217
0.64162,13.48256
0.82763,13.40346
0.95915,13.26102
1.09068,13.77072
1.27668,13.56994
1.46269,13.89329
1.59422,13.47142
1.72574,13.40346
0.00000,13.89329
0.22781,13.83434
0.45562,14.34217
0.64162,13.50609
0.82763,13.40346
0.95915,13.26717
1.09068,13.77072
1.27668,13.57094
1.46269,13.89329
1.59422,13.49375
1.72574,13.40346
0.00000,14.11347
0.22781,13.90087
0.45562,14.40147
0.64162,13.80334
0.82763,14.14553
0.95915,13.76621
1.09068,13.89989
1.27668,14.06555
1.46269,14.11347
1.59422,13.94660
1.72574,14.14553
0.00000,14.11347
0.22781,13.93620
0.45562,14.40147
0.64162,13.84243
0.82763,14.14553
0.95915,13.77749
1.09068,13.89989
1.27668,14.08400
1.46269,14.11347
1.59422,13.95020
1.72574,14.14553
0.00000,14.61078
0.22781,14.58499
0.45562,14.41139
0.64162,13.84976
0.82763,14.29959
0.95915,13.97360
1.09068,14.28510
1.27668,14.26915
1.46269,14.61078
1.59422,14.11479
1.72574,14.29959
0.00000,14.61078
0.22781,14.59162
0.45562,14.41139
0.64162,13.87970
0.82763,14.29959
0.95915,13.98354
1.09068,14.28510
1.27668,14.29583
1.46269,14.61078
1.59422,14.13766
1.72574,14.29959
0.00000,14.89783
0.22781,15.02477
0.45562,14.71872
0.64162,14.29165
0.82763,14.38443
0.95915,14.20638
1.09068,14.58002
1.27668,14.53283
1.46269,14.89783
1.59422,14.52794
1.72574,14.38443
0.00000,14.89783
0.22781,15.05228
0.45562,14.71872
0.64162,14.29316
0.82763,14.38443
0.95915,14.21651
1.09068,14.58002
1.27668,14.59709
1.46269,14.89783
1.59422,14.54632
1.72574,14.38443
