k,e
0.45562,14.01016
0.82763,13.17033
1.09068,13.44635
1.46269,13.57614
1.72574,13.17033
0.00000,13.57614
0.45562,14.01016
0.82763,13.17033
1.09068,13.44635
1.46269,13.57614
1.72574,13.17033
0.00000,13.79808
0.45562,14.05755
0.82763,13.81601
1.09068,13.65622
1.46269,13.79808
1.72574,13.81601
0.00000,13.79808
0.45562,14.05755
0.82763,13.81601
1.09068,13.65622
1.46269,13.79808
1.72574,13.81601
0.00000,14.32989
0.45562,14.10104
0.82763,13.98805
1.09068,13.96542
1.46269,14.32989
1.72574,13.98805
0.00000,14.32989
0.45562,14.10104
0.82763,13.98805
1.09068,13.96542
1.46269,14.32989
1.72574,13.98805
0.00000,14.57351
0.45562,14.41985
0.82763,14.10816
1.09068,14.26516
1.46269,14.57351
1.72574,14.10816
0.00000,14.57351
0.45562,14.41985
0.82763,14.10816
1.09068,14.26516
1.46269,14.57351
1.72574,14.10816
