k,e
0.69477,-16.58286
0.72134,-16.58481
0.74791,-16.58566
0.77449,-16.58519
0.80106,-16.58408
0.82763,-16.58351
0.85393,-16.58343
0.88024,-16.58207
0.90654,-16.57825
0.93285,-16.57226
0.95915,-16.56613
0.98546,-16.56151
1.01176,-16.55785
1.03807,-16.55419
1.06437,-16.55077
1.09068,-16.54922
1.11726,-16.53130
1.14382,-16.49722
1.17040,-16.46288
1.19697,-16.43075
1.22355,-16.39971
1.25012,-16.36748
1.27668,-16.33144
1.30326,-16.29258
1.32983,-16.25643
1.35641,-16.22775
1.38298,-16.20807
1.40955,-16.19659
1.43612,-16.19136
1.46269,-16.19007
1.48899,-16.19200
1.51530,-16.20309
1.54161,-16.23088
1.56791,-16.27758
1.59422,-16.33544
1.62052,-16.39149
1.64683,-16.44553
1.67313,-16.50250
1.69944,-16.55732
1.72574,-16.58351
0.00000,-16.02913
0.02680,-16.02970
0.05360,-16.03321
0.08040,-16.04274
0.10720,-16.06038
0.13401,-16.08658
0.16081,-16.12033
0.18761,-16.15907
0.21440,-16.19825
0.24120,-16.23281
0.26800,-16.26050
0.29481,-16.28249
0.32161,-16.30044
0.34841,-16.31478
0.37521,-16.32532
0.40201,-16.33227
0.42881,-16.33632
0.45562,-16.33775
0.48219,-16.33496
0.50876,-16.32874
0.53534,-16.32121
0.56191,-16.31166
0.58849,-16.29804
0.61505,-16.27725
0.64162,-16.24505
0.66820,-16.20116
0.69477,-16.15364
0.72134,-16.11196
0.74791,-16.08181
0.77449,-16.06479
0.80106,-16.05860
0.82763,-16.05771
0.85393,-16.05688
0.88024,-16.06257
0.90654,-16.08447
0.93285,-16.12324
0.95915,-16.16859
0.98546,-16.20710
1.01176,-16.24285
1.03807,-16.28449
1.06437,-16.32791
1.09068,-16.34916
1.11726,-16.33792
1.14382,-16.31080
1.17040,-16.27898
1.19697,-16.24885
1.22355,-16.22180
1.25012,-16.19581
1.27668,-16.16680
1.30326,-16.13278
1.32983,-16.09767
1.35641,-16.06714
1.38298,-16.04510
1.40955,-16.03304
1.43612,-16.02929
1.46269,-16.02913
1.48899,-16.03073
1.51530,-16.03541
1.54161,-16.04158
1.56791,-16.04693
1.59422,-16.05096
1.62052,-16.05456
1.64683,-16.05747
1.67313,-16.05863
1.69944,-16.05822
1.72574,-16.05771
0.00000,-13.00890
0.02680,-12.99929
0.05360,-13.02720
0.08040,-13.02327
0.10720,-13.03008
0.13401,-13.01857
0.16081,-12.99643
0.18761,-12.99088
0.21440,-12.98395
0.24120,-12.99151
0.26800,-12.99081
0.29481,-12.97766
0.32161,-12.97940
0.34841,-12.99118
0.37521,-13.01646
0.40201,-13.02437
0.42881,-12.99404
0.45562,-12.97043
0.48219,-13.00218
0.50876,-13.01525
0.53534,-12.98904
0.56191,-12.99452
0.58849,-12.98639
0.61505,-12.98400
0.64162,-12.96754
0.66820,-12.98714
0.69477,-12.99154
0.72134,-12.98715
0.74791,-12.98859
0.77449,-12.99110
0.80106,-13.02462
0.82763,-13.02893
0.85393,-13.01970
0.88024,-13.01171
0.90654,-13.00413
0.93285,-13.00630
0.95915,-13.00721
0.98546,-13.00266
1.01176,-13.00677
1.03807,-13.01332
1.06437,-13.00355
1.09068,-12.98873
1.11726,-13.00065
1.14382,-12.98776
1.17040,-12.99492
1.19697,-13.01311
1.22355,-13.01579
1.25012,-13.02027
1.27668,-13.02690
1.30326,-13.03421
1.32983,-13.02885
1.35641,-13.03138
1.38298,-13.02018
1.40955,-13.02208
1.43612,-13.00088
1.46269,-13.00890
1.48899,-13.00536
1.51530,-13.02618
1.54161,-13.04183
1.56791,-13.04371
1.59422,-13.02520
1.62052,-13.01954
1.64683,-13.03047
1.67313,-13.01666
1.69944,-13.02072
1.72574,-13.02893
0.00000,-13.00491
0.02680,-12.99670
0.05360,-13.01107
0.08040,-13.00281
0.10720,-13.00596
0.13401,-13.00600
0.16081,-12.98818
0.18761,-12.98375
0.21440,-12.97925
0.24120,-12.97732
0.26800,-12.97686
0.29481,-12.96830
0.32161,-12.96983
0.34841,-12.97809
0.37521,-12.98476
0.40201,-13.01528
0.42881,-12.97007
0.45562,-12.96027
0.48219,-12.97533
0.50876,-12.98431
0.53534,-12.97340
0.56191,-12.97937
0.58849,-12.97237
0.61505,-12.97210
0.64162,-12.95457
0.66820,-12.95445
0.69477,-12.95323
0.72134,-12.94724
0.74791,-12.93910
0.77449,-12.93491
0.80106,-12.95963
0.82763,-12.96911
0.85393,-12.95332
0.88024,-12.95209
0.90654,-12.96803
0.93285,-12.96354
0.95915,-12.97934
0.98546,-12.98499
1.01176,-12.99085
1.03807,-13.00745
1.06437,-12.99381
1.09068,-12.98160
1.11726,-12.99513
1.14382,-12.97035
1.17040,-12.97343
1.19697,-12.97607
1.22355,-12.96845
1.25012,-12.97768
1.27668,-12.98240
1.30326,-12.99928
1.32983,-13.00599
1.35641,-13.01554
1.38298,-13.00962
1.40955,-13.01268
1.43612,-12.99594
1.46269,-13.00491
1.48899,-12.99796
1.51530,-13.00963
1.54161,-13.01922
1.56791,-13.03494
1.59422,-13.01787
1.62052,-12.96586
1.64683,-12.94662
1.67313,-12.91923
1.69944,-12.95428
1.72574,-12.96911
0.00000,-9.68529
0.02680,-9.62204
0.05360,-9.63674
0.08040,-9.57283
0.10720,-9.47593
0.13401,-9.40557
0.16081,-9.63539
0.18761,-9.68560
0.21440,-9.69713
0.24120,-9.93233
0.26800,-10.18592
0.29481,-10.41659
0.32161,-10.61542
0.34841,-10.77849
0.37521,-10.90437
0.40201,-10.99285
0.42881,-11.04470
0.45562,-11.06168
0.48219,-11.04500
0.50876,-10.99361
0.53534,-10.90537
0.56191,-10.77965
0.58849,-10.61746
0.61505,-10.42356
0.64162,-10.21004
0.66820,-9.99476
0.69477,-9.78959
0.72134,-9.73467
0.74791,-9.73941
0.77449,-9.74655
0.80106,-9.75260
0.82763,-9.75564
0.85393,-9.74900
0.88024,-9.74224
0.90654,-9.73518
0.93285,-9.69483
0.95915,-9.69049
0.98546,-9.82617
1.01176,-9.94809
1.03807,-10.03327
1.06437,-10.08157
1.09068,-10.09664
1.11726,-10.08094
1.14382,-10.03212
1.17040,-9.94772
1.19697,-9.82651
1.22355,-9.66927
1.25012,-9.66713
1.27668,-9.66553
