jband,k,e,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12
0,0.000,-44.877,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.971,0.028,0.000
0,0.005,-44.877,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.971,0.028,0.000
0,0.009,-44.877,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.964,0.035,0.000
0,0.014,-44.877,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.963,0.036,0.000
0,0.019,-44.877,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.963,0.036,0.000
0,0.024,-44.877,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.962,0.036,0.000
0,0.028,-44.877,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.956,0.043,0.000
0,0.033,-44.877,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.960,0.039,0.000
0,0.038,-44.877,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.960,0.038,0.000
0,0.042,-44.877,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.966,0.032,0.000
0,0.047,-44.877,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.967,0.032,0.000
0,0.052,-44.877,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.963,0.036,0.000
0,0.057,-44.877,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.966,0.033,0.000
0,0.061,-44.877,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.967,0.032,0.000
0,0.066,-44.877,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.967,0.031,0.000
0,0.071,-44.877,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.966,0.033,0.000
0,0.075,-44.877,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.969,0.029,0.000
0,0.080,-44.877,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.970,0.028,0.000
0,0.085,-44.877,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.971,0.027,0.000
0,0.090,-44.877,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.985,0.014,0.000
0,0.094,-44.877,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.986,0.013,0.000
0,0.099,-44.877,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.986,0.012,0.000
0,0.104,-44.877,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.987,0.012,0.000
0,0.108,-44.877,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.987,0.012,0.000
0,0.113,-44.877,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.987,0.011,0.000
0,0.118,-44.877,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.996,0.003,0.000
0,0.123,-44.877,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.996,0.003,0.000
0,0.127,-44.877,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.997,0.002,0.000
0,0.132,-44.877,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.998,0.000,0.000
0,0.137,-44.877,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.997,0.001,0.000
0,0.141,-44.877,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.998,0.001,0.000
0,0.146,-44.877,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.996,0.003,0.000
0,0.151,-44.877,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.996,0.003,0.000
0,0.156,-44.877,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.998,0.000,0.000
0,0.160,-44.877,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.999,0.000,0.000
0,0.165,-44.877,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.999,0.000,0.000
0,0.170,-44.877,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.999,0.000,0.000
0,0.174,-44.877,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.999,0.000,0.000
0,0.179,-44.877,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.999,0.000,0.000
