jband,k,e
0,0.000,-45.31
0,0.005,-45.31
0,0.009,-45.31
0,0.014,-45.31
0,0.019,-45.31
0,0.024,-45.31
0,0.028,-45.31
0,0.033,-45.31
0,0.038,-45.31
0,0.042,-45.31
0,0.047,-45.31
0,0.052,-45.31
0,0.057,-45.31
0,0.061,-45.31
0,0.066,-45.31
0,0.071,-45.31
0,0.075,-45.31
0,0.080,-45.31
0,0.085,-45.31
0,0.090,-45.31
0,0.094,-45.31
0,0.099,-45.31
0,0.104,-45.31
0,0.108,-45.31
0,0.113,-45.31
0,0.118,-45.31
0,0.123,-45.31
0,0.127,-45.31
0,0.132,-45.31
0,0.137,-45.31
0,0.141,-45.31
0,0.146,-45.31
0,0.151,-45.31
0,0.156,-45.31
0,0.160,-45.31
0,0.165,-45.31
0,0.170,-45.31
0,0.174,-45.31
0,0.179,-45.31
0,0.184,-45.31
0,0.189,-45.31
0,0.193,-45.31
0,0.198,-45.31
0,0.203,-45.31
0,0.207,-45.31
0,0.212,-45.31
0,0.217,-45.31
0,0.222,-45.31
0,0.226,-45.31
0,0.231,-45.31
0,0.236,-45.31
0,0.240,-45.31
0,0.245,-45.31
0,0.250,-45.31
0,0.255,-45.31
0,0.259,-45.31
0,0.264,-45.31
0,0.269,-45.31
0,0.273,-45.31
0,0.278,-45.31
0,0.283,-45.31
0,0.287,-45.31
0,0.292,-45.31
0,0.297,-45.31
0,0.302,-45.31
0,0.306,-45.31
0,0.311,-45.31
0,0.316,-45.31
0,0.320,-45.31
0,0.325,-45.31
0,0.330,-45.31
0,0.334,-45.31
0,0.339,-45.31
0,0.344,-45.31
0,0.348,-45.31
0,0.353,-45.31
0,0.358,-45.31
0,0.362,-45.31
0,0.367,-45.31
0,0.372,-45.31
0,0.376,-45.31
0,0.381,-45.31
0,0.386,-45.31
0,0.391,-45.31
0,0.395,-45.31
0,0.400,-45.31
0,0.405,-45.31
0,0.409,-45.31
0,0.414,-45.31
0,0.419,-45.31
0,0.423,-45.31
0,0.428,-45.31
0,0.433,-45.31
0,0.437,-45.31
0,0.442,-45.31
0,0.447,-45.31
0,0.451,-45.31
0,0.456,-45.31
0,0.461,-45.31
0,0.466,-45.31
0,0.470,-45.31
0,0.475,-45.31
0,0.480,-45.31
0,0.484,-45.31
0,0.489,-45.31
0,0.493,-45.31
0,0.498,-45.31
0,0.503,-45.31
0,0.507,-45.31
0,0.512,-45.31
0,0.517,-45.31
0,0.521,-45.31
0,0.526,-45.31
0,0.530,-45.31
0,0.535,-45.31
0,0.540,-45.31
0,0.544,-45.31
0,0.549,-45.31
0,0.553,-45.31
0,0.558,-45.31
0,0.563,-45.31
0,0.567,-45.31
0,0.572,-45.31
0,0.577,-45.31
0,0.581,-45.31
0,0.586,-45.31
0,0.590,-45.31
0,0.595,-45.31
0,0.600,-45.31
0,0.604,-45.31
0,0.609,-45.31
0,0.614,-45.31
0,0.618,-45.31
0,0.623,-45.31
0,0.627,-45.31
0,0.632,-45.31
0,0.637,-45.31
0,0.641,-45.31
0,0.646,-45.31
0,0.651,-45.31
0,0.655,-45.31
0,0.660,-45.31
0,0.665,-45.31
0,0.669,-45.31
0,0.674,-45.31
0,0.679,-45.31
0,0.684,-45.31
0,0.688,-45.31
0,0.693,-45.31
0,0.698,-45.31
0,0.702,-45.31
0,0.707,-45.31
0,0.712,-45.31
0,0.716,-45.31
0,0.721,-45.31
0,0.726,-45.31
0,0.730,-45.31
0,0.735,-45.31
0,0.740,-45.31
0,0.744,-45.31
0,0.749,-45.31
0,0.754,-45.31
0,0.759,-45.31
0,0.763,-45.31
0,0.768,-45.31
0,0.773,-45.31
0,0.777,-45.31
0,0.782,-45.31
0,0.787,-45.31
0,0.791,-45.31
0,0.796,-45.31
0,0.801,-45.31
0,0.805,-45.31
0,0.810,-45.31
0,0.815,-45.31
0,0.819,-45.31
0,0.824,-45.31
0,0.829,-45.31
0,0.834,-45.31
0,0.838,-45.31
0,0.843,-45.31
0,0.848,-45.31
0,0.852,-45.31
0,0.857,-45.31
0,0.861,-45.31
0,0.866,-45.31
0,0.871,-45.31
0,0.875,-45.31
0,0.880,-45.31
0,0.885,-45.31
0,0.889,-45.31
0,0.894,-45.31
0,0.898,-45.31
0,0.903,-45.31
0,0.908,-45.31
0,0.912,-45.31
0,0.917,-45.31
0,0.921,-45.31
0,0.926,-45.31
0,0.931,-45.31
0,0.935,-45.31
0,0.940,-45.31
0,0.945,-45.31
0,0.949,-45.31
0,0.954,-45.31
0,0.958,-45.31
0,0.963,-45.31
0,0.968,-45.31
0,0.972,-45.31
0,0.977,-45.31
0,0.982,-45.31
0,0.986,-45.31
0,0.991,-45.31
0,0.995,-45.31
1,0.000,-45.31
1,0.005,-45.31
1,0.009,-45.31
1,0.014,-45.31
1,0.019,-45.31
1,0.024,-45.31
1,0.028,-45.31
1,0.033,-45.31
1,0.038,-45.31
1,0.042,-45.31
1,0.047,-45.31
1,0.052,-45.31
1,0.057,-45.31
1,0.061,-45.31
1,0.066,-45.31
1,0.071,-45.31
1,0.075,-45.31
1,0.080,-45.31
1,0.085,-45.31
1,0.090,-45.31
1,0.094,-45.31
1,0.099,-45.31
1,0.104,-45.31
1,0.108,-45.31
1,0.113,-45.31
1,0.118,-45.31
1,0.123,-45.31
1,0.127,-45.31
1,0.132,-45.31
1,0.137,-45.31
1,0.141,-45.31
1,0.146,-45.31
1,0.151,-45.31
1,0.156,-45.31
1,0.160,-45.31
1,0.165,-45.31
1,0.170,-45.31
1,0.174,-45.31
1,0.179,-45.31
1,0.184,-45.31
1,0.189,-45.31
1,0.193,-45.31
1,0.198,-45.31
1,0.203,-45.31
1,0.207,-45.31
1,0.212,-45.31
1,0.217,-45.31
1,0.222,-45.31
1,0.226,-45.31
1,0.231,-45.31
1,0.236,-45.31
1,0.240,-45.31
1,0.245,-45.31
1,0.250,-45.31
1,0.255,-45.31
1,0.259,-45.31
1,0.264,-45.31
1,0.269,-45.31
1,0.273,-45.31
1,0.278,-45.31
1,0.283,-45.31
1,0.287,-45.31
1,0.292,-45.31
1,0.297,-45.31
1,0.302,-45.31
1,0.306,-45.31
1,0.311,-45.31
1,0.316,-45.31
1,0.320,-45.31
1,0.325,-45.31
1,0.330,-45.31
1,0.334,-45.31
1,0.339,-45.31
1,0.344,-45.31
1,0.348,-45.31
1,0.353,-45.31
1,0.358,-45.31
1,0.362,-45.31
1,0.367,-45.31
1,0.372,-45.31
1,0.376,-45.31
1,0.381,-45.31
1,0.386,-45.31
1,0.391,-45.31
1,0.395,-45.31
1,0.400,-45.31
1,0.405,-45.31
1,0.409,-45.31
1,0.414,-45.31
1,0.419,-45.31
1,0.423,-45.31
1,0.428,-45.31
1,0.433,-45.31
1,0.437,-45.31
1,0.442,-45.31
1,0.447,-45.31
1,0.451,-45.31
1,0.456,-45.31
1,0.461,-45.31
1,0.466,-45.31
1,0.470,-45.31
1,0.475,-45.31
1,0.480,-45.31
1,0.484,-45.31
1,0.489,-45.31
1,0.493,-45.31
1,0.498,-45.31
1,0.503,-45.31
1,0.507,-45.31
1,0.512,-45.31
1,0.517,-45.31
1,0.521,-45.31
1,0.526,-45.31
1,0.530,-45.31
1,0.535,-45.31
1,0.540,-45.31
1,0.544,-45.31
1,0.549,-45.31
1,0.553,-45.31
1,0.558,-45.31
1,0.563,-45.31
1,0.567,-45.31
1,0.572,-45.31
1,0.577,-45.31
1,0.581,-45.31
1,0.586,-45.31
1,0.590,-45.31
1,0.595,-45.31
1,0.600,-45.31
1,0.604,-45.31
1,0.609,-45.31
1,0.614,-45.31
1,0.618,-45.31
1,0.623,-45.31
1,0.627,-45.31
1,0.632,-45.31
1,0.637,-45.31
1,0.641,-45.31
1,0.646,-45.31
1,0.651,-45.31
1,0.655,-45.31
1,0.660,-45.31
1,0.665,-45.31
1,0.669,-45.31
1,0.674,-45.31
1,0.679,-45.31
1,0.684,-45.31
1,0.688,-45.31
1,0.693,-45.31
1,0.698,-45.31
1,0.702,-45.31
1,0.707,-45.31
1,0.712,-45.31
1,0.716,-45.31
1,0.721,-45.31
1,0.726,-45.31
1,0.730,-45.31
1,0.735,-45.31
1,0.740,-45.31
1,0.744,-45.31
1,0.749,-45.31
1,0.754,-45.31
1,0.759,-45.31
1,0.763,-45.31
1,0.768,-45.31
1,0.773,-45.31
1,0.777,-45.31
1,0.782,-45.31
1,0.787,-45.31
1,0.791,-45.31
1,0.796,-45.31
1,0.801,-45.31
1,0.805,-45.31
1,0.810,-45.31
1,0.815,-45.31
1,0.819,-45.31
1,0.824,-45.31
1,0.829,-45.31
1,0.834,-45.31
1,0.838,-45.31
1,0.843,-45.31
1,0.848,-45.31
1,0.852,-45.31
1,0.857,-45.31
1,0.861,-45.31
1,0.866,-45.31
1,0.871,-45.31
1,0.875,-45.31
1,0.880,-45.31
1,0.885,-45.31
1,0.889,-45.31
1,0.894,-45.31
1,0.898,-45.31
1,0.903,-45.31
1,0.908,-45.31
1,0.912,-45.31
1,0.917,-45.31
1,0.921,-45.31
1,0.926,-45.31
1,0.931,-45.31
1,0.935,-45.31
1,0.940,-45.31
1,0.945,-45.31
1,0.949,-45.31
1,0.954,-45.31
1,0.958,-45.31
1,0.963,-45.31
1,0.968,-45.31
1,0.972,-45.31
1,0.977,-45.31
1,0.982,-45.31
1,0.986,-45.31
1,0.991,-45.31
1,0.995,-45.31
2,0.000,-45.27
2,0.005,-45.27
2,0.009,-45.27
2,0.014,-45.27
2,0.019,-45.27
2,0.024,-45.27
2,0.028,-45.27
2,0.033,-45.27
2,0.038,-45.27
2,0.042,-45.27
2,0.047,-45.27
2,0.052,-45.27
2,0.057,-45.27
